#     |    Population Average   |             Best Individual              |
# ---- ------------------------- ------------------------------------------ ----------
#  Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
  78    15.34   0.213600418467       15 5.48503041928e-17              N/A     22.53s
  79    15.06   0.198126159295       15 5.48503041928e-17              N/A     21.46s
  80    14.95   0.218589849981       15 5.48503041928e-17              N/A     20.41s
  81    14.91   0.217206489848       15 5.48503041928e-17              N/A     19.34s
  82    14.84   0.205730948895       15 5.48503041928e-17              N/A     18.27s
  83    15.06   0.206687493352       15 5.48503041928e-17              N/A     17.22s
  84    15.14    0.19446733701       15 5.48503041928e-17              N/A     16.16s
  85    14.62   0.194189990105       15 5.48503041928e-17              N/A     15.10s
  86    14.97   0.197953168905       15 5.48503041928e-17              N/A     14.02s
  87    14.86     0.1943802096       15 5.48503041928e-17              N/A     12.95s
  88     15.0   0.204843066257       15 5.48503041928e-17              N/A     11.87s
  89    14.91   0.211528364324       15 5.48503041928e-17              N/A     10.79s
  90    14.89   0.199968108486       15 5.48503041928e-17              N/A      9.72s
  91     15.0    0.20986280179       15 5.48503041928e-17              N/A      8.64s
  92    14.89   0.200379263895       15 5.48503041928e-17              N/A      7.56s
  93    14.99   0.188053989029       15 5.48503041928e-17              N/A      6.49s
  94     14.8     0.2009075042       15 5.48503041928e-17              N/A      5.41s
  95    14.99   0.191093873629       15 5.48503041928e-17              N/A      4.33s
  96    14.93   0.200618512086       15 5.48503041928e-17              N/A      3.25s
  97    15.02   0.208637322581       15 5.48503041928e-17              N/A      2.17s
  98    14.87   0.202234682705       15 5.48503041928e-17              N/A      1.08s
  99    15.04   0.197140765076       15 5.48503041928e-17              N/A      0.00s
# add(mul(add(X0, mul(X0, X0)), mul(X0, X0)), add(X0, mul(X0, X0)))
